wban,station_name,state,latitude,longitude
23023,Midland/Odessa,TX,31.95,-102.18
12917,Port Arthur,TX,29.95,-94.02
23034,San Angelo,TX,31.37,-100.50
12921,San Antonio,TX,29.53,-98.47
12912,Victoria,TX,28.85,-96.92
13959,Waco,TX,31.62,-97.22
13966,Wichita Falls,TX,33.97,-98.48
93129,Cedar City,UT,37.70,-113.10
24127,Salt Lake City,UT,40.78,-111.95
13733,Lynchburg,VA,37.33,-79.20
13737,Norfolk,VA,36.90,-76.20
13740,Richmond,VA,37.50,-77.33
13741,Roanoke,VA,37.32,-79.97
93738,Sterling (Dulles Int'l.),VA,38.95,-77.45
14742,Burlington,VT,44.47,-73.15
24227,Olympia,WA,46.97,-122.90
94240,Quillayute,WA,47.95,-124.55
24233,Seattle/Tacoma AP,WA,47.45,-122.30
24157,Spokane,WA,47.63,-117.53
24243,Yakima,WA,46.57,-120.53
14991,Eau Claire,WI,44.87,-91.48
14898,Green Bay,WI,44.48,-88.13
14920,La Crosse,WI,43.87,-91.25
14837,Madison,WI,43.13,-89.33
14839,Milwaukee,WI,42.95,-87.90
13866,Charleston,WV,38.37,-81.60
13729,Elkins,WV,38.88,-79.85
03860,Huntington,WV,38.37,-82.55
24089,Casper,WY,42.92,-106.47
24018,Cheyenne,WY,41.15,-104.82
24021,Lander,WY,42.82,-108.73
24027,Rock Springs,WY,41.60,-109.07
24029,Sheridan,WY,44.77,-106.97
